ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,21,75,54.0,cell,594.886,-0.03478271310159573,594.886
cell4_01_17_03,17_03,cell4_17_03,1,10,21,75,54.0,up,479.176,0.04924136725355783,0.04962235570657772
cell4_01_17_03,17_03,cell4_17_03,1,10,21,75,54.0,down,586.732,-0.04282297497625145,-0.008328552591676348
cell4_01_17_03,17_03,cell4_17_03,1,10,21,76,55.0,cell,593.728,-0.036661596817515026,593.728
cell4_01_17_03,17_03,cell4_17_03,1,10,21,76,55.0,up,480.602,0.05173918023067803,0.054799234162906336
cell4_01_17_03,17_03,cell4_17_03,1,10,21,76,55.0,down,584.236,-0.04689487467570411,-0.010621277878307104
cell4_01_17_03,17_03,cell4_17_03,1,10,21,77,56.0,cell,592.914,-0.03798233200297118,592.914
cell4_01_17_03,17_03,cell4_17_03,1,10,21,77,56.0,up,462.782,0.02175526298923621,0.01708328283476502
cell4_01_17_03,17_03,cell4_17_03,1,10,21,77,56.0,down,586.701,-0.04287354744848015,-0.005082876067417349
cell4_01_17_03,17_03,cell4_17_03,1,10,21,78,57.0,cell,594.506,-0.035399272524781665,594.506
cell4_01_17_03,17_03,cell4_17_03,1,10,21,78,57.0,up,489.862,0.06724574688901375,0.0737156218608201
cell4_01_17_03,17_03,cell4_17_03,1,10,21,78,57.0,down,584.428,-0.04658165162190005,-0.011591309578894106
cell4_01_17_03,17_03,cell4_17_03,1,10,21,79,58.0,cell,596.534,-0.03210879223472612,596.534
cell4_01_17_03,17_03,cell4_17_03,1,10,21,79,58.0,up,477.221,0.04582806679921011,0.04245209709398706
cell4_01_17_03,17_03,cell4_17_03,1,10,21,79,58.0,down,586.948,-0.042470599040721875,-0.010704103177652604
